Image,Label,Confidence,Xmin,Ymin,Xmax,Ymax
Image_1.jpg,banana,0.933,52,34,636,490
Image_1.jpg,banana,0.629,157,63,663,324
Image_10.jpg,apple,0.965,338,250,1089,1056
Image_10.png,banana,0.89,12,0,1302,1559
Image_10.png,banana,0.446,3,32,593,1591
Image_13.jpg,banana,0.969,91,152,2086,1717
Image_13.jpg,banana,0.583,226,160,1820,1426
Image_13.jpg,banana,0.332,735,1392,1195,1670
Image_13.png,apple,0.97,112,125,661,637
Image_13.png,bowl,0.736,146,558,655,704
Image_14.jpg,banana,0.966,218,0,559,526
Image_19.jpg,apple,0.873,1865,350,5992,3967
Image_19.jpg,apple,0.745,1866,2098,4012,3979
Image_19.jpg,apple,0.44,5479,1906,5997,2632
Image_19.jpg,apple,0.39,3971,2088,5998,3951
Image_2.jpg,banana,0.835,2728,1107,3148,1831
Image_2.jpg,banana,0.818,0,556,582,1328
Image_2.jpg,banana,0.782,1924,284,2915,935
Image_2.jpg,banana,0.772,791,1224,1510,1894
Image_2.jpg,banana,0.703,2125,759,3147,1565
Image_2.jpg,banana,0.698,493,180,1329,839
Image_2.jpg,banana,0.692,1602,1314,2293,1988
Image_2.jpg,banana,0.667,1003,845,2162,1401
Image_2.jpg,banana,0.662,2207,1425,3150,2068
Image_2.jpg,banana,0.628,1301,851,2096,1170
Image_2.jpg,banana,0.464,535,795,1081,1286
Image_2.jpg,banana,0.461,2629,145,3149,776
Image_2.jpg,banana,0.419,1288,650,2046,989
Image_2.jpg,banana,0.352,1357,1781,1616,2095
Image_2.jpg,banana,0.33,2125,929,2756,1564
Image_2.jpg,banana,0.319,934,1672,2041,2089
Image_2.jpg,banana,0.319,594,0,1928,572
Image_2.jpg,banana,0.294,1001,688,1760,1008
Image_2.jpg,banana,0.284,2268,759,3147,1168
Image_2.jpg,banana,0.274,1535,287,1972,766
Image_20.jpg,apple,0.941,15,483,707,1276
Image_21.jpg,cake,0.788,17,18,438,478
Image_3.jpeg,banana,0.937,23,47,983,734
Image_6.jpg,banana,0.848,125,68,1028,944
Image_6.jpg,banana,0.298,457,73,1027,943
Image_7.jpg,apple,0.944,32,15,556,572
Image_8.jpg,apple,0.97,24,47,648,673
Image_9.jpg,banana,0.954,219,117,4150,3138
